ID,NG,EG,H,g,X,Y,Hnorm,Z,TCR
5004.0,370543.523183,330291.987232,146.61670525909526,981126.1866590342,370800.0,330500.0,147.174,2.035,3.1881603190732658e-09
5005.0,364794.692931,343215.517982,133.7590653070725,981146.4252150636,364800.0,343000.0,133.925,2.028,9.669991107892443e-09
5006.0,361627.189693,341499.836952,137.0,981149.753301608,361550.0,341500.0,136.651,2.044,9.59959572737117e-09
5007.0,366133.35396,340926.403347,138.0,981143.8386241049,365800.0,341000.0,137.599,2.031,9.655329492242543e-09
5009.0,368478.122318,331257.429854,153.13105030545069,981130.9987026048,368800.0,331000.0,150.4,2.042,9.547889191555927e-09
5010.0,380652.972975,330691.672459,150.44080475680855,981113.8977388702,380800.0,331000.0,150.6,1.994,9.71920057736521e-09
5012.0,373101.133193,330624.153386,147.46844464203602,981122.1735119128,372966.667,330833.333,148.984,2.026,6.4027749493168346e-09
5013.0,384032.067215,331948.046515,144.0,981111.7574705976,383800.0,332000.0,147.483,1.981,9.782660883683259e-09
5015.0,377611.415809,330106.102981,148.5499817337586,981116.6527695432,377800.0,330500.0,148.26,2.007,3.2219053319127404e-09
5016.0,366075.543165,331837.867735,155.5891504399806,981135.220832702,365800.0,332000.0,153.852,2.051,9.520374122087753e-09
5017.0,368293.87286100007,335349.091192,144.2316050728067,981136.8807121572,368300.0,335500.0,144.595,2.034,1.2810023398582998e-08
5018.0,371298.264884,339699.088244,141.39976968545307,981131.8075999444,371300.0,339500.0,141.747,2.014,1.295155928438554e-08
5019.0,372923.89499,335721.485842,149.0,981126.284464494,372800.0,336000.0,149.253,2.016,9.679823829744976e-09
5020.0,374287.350319,338452.338546,151.9094218498321,981125.3277067963,374300.0,338500.0,149.713,2.005,1.2987170313324654e-08
5021.0,375994.211427,330403.630111,139.50599202709054,981118.8812017934,375966.667,330833.333,140.734,2.014,6.4302191291592935e-09
5022.0,367996.239805,337056.304977,142.52808170029311,981139.11230327,367800.0,337000.0,142.203,2.033,9.625022846845897e-09
5023.0,375276.684325,333933.876075,138.04934173361653,981120.7494671062,375300.0,334000.0,144.557,2.01,1.6145876836575278e-08
5024.0,382850.082789,335839.214535,136.0,981116.7499846312,382800.0,336000.0,138.039,1.978,9.825745254505031e-09
5025.0,380412.866653,336093.614972,144.53047078621057,981117.9879710862,380500.0,336100.0,142.6,1.986,1.3059274497865946e-08
5029.0,359127.483481,331924.036803,161.0,981142.9330811332,358800.0,332000.0,163.32,2.077,9.419451358789647e-09
5030.0,358508.99202,331959.781283,164.32768640448103,981143.0535260156,358800.0,332000.0,163.32,2.077,9.414920799394884e-09
