ID,Xp,Yp,Hp,g,X,Y,Hnorm,Z,TCR
2934.0,343985.702701,355340.387234,134.0,981168.0372408129,343300.0,354500.0,134.637,2.049,1.1226735371408751e-05
2935.0,339372.491906,352288.752789,156.381999131263,981157.046306584,339300.0,351500.0,155.0,2.069,6.312922469663157e-06
2936.0,343382.690857,351847.1597579999,139.4600862628849,981159.5740253732,342300.0,351500.0,147.0,2.064,1.4044043413945317e-05
2937.0,344317.712202,351948.207148,141.9280394935294,981160.1917764136,343300.0,351500.0,138.0,2.062,1.7990366611499126e-05
2938.0,346260.426479,352379.832774,157.0,981161.5757046123,346300.0,351500.0,140.0,2.056,8.22858755775419e-06
2939.0,343941.804136,354076.293618,141.8886619784171,981165.2707944377,343300.0,353500.0,133.364,2.054,8.967094121247047e-06
2948.0,345490.848261,359477.487688,128.0,981172.5494088932,345300.0,358500.0,129.603,2.03,8.578687563443356e-06
2951.0,344979.001578,358729.60767,129.0,981172.4019994353,344300.0,358500.0,129.0,2.031,6.7043100190469844e-06
3200.0,345922.581384,355882.222204,133.9262308709833,981167.8755060066,345300.0,355500.0,133.494,2.042,7.402314704267683e-06
3201.0,346349.674096,359679.085352,125.0,981172.0207295113,346300.0,358500.0,127.144,2.028,9.016003511235885e-06
3202.0,347593.013322,352539.336333,150.1751849980901,981161.499038683,347300.0,351500.0,139.626,2.054,1.306401803424942e-05
3204.0,350134.282791,354624.787995,136.7807765794896,981163.9934890554,349300.0,354500.0,135.152,2.037,1.823934006481045e-09
3205.0,348602.582568,358190.981907,127.0,981168.8504929532,348300.0,357500.0,131.633,2.027,7.308140898988918e-06
3206.0,350143.515695,357059.388504,132.5183596411207,981166.9452482244,349300.0,356500.0,132.739,2.029,3.445539463401532e-06
3207.0,349550.655876,358194.1546460001,128.0,981168.294693395,349300.0,357500.0,129.0,2.024,2.316109632932948e-06
3208.0,347896.219781,358183.920438,129.0,981169.5338796444,347300.0,357500.0,135.0,2.029,9.42383327468146e-06
3209.0,347549.341074,357720.317795,133.0050475312291,981169.5403530158,347300.0,357500.0,135.0,2.029,3.4587520028678793e-06
3211.0,348695.173734,359370.306026,127.0,981169.7698920544,348300.0,358500.0,125.856,2.023,9.310620711646266e-06
4502.0,327277.088984,335608.722956,217.6860600804375,981100.0910408633,327300.0,334500.0,225.849,2.128,1.058477448492142e-05
4503.0,330037.880751,335430.741556,209.9965579683231,981102.206075978,329300.0,334500.0,218.78,2.128,1.6310268145740466e-05
4504.0,328676.340851,336508.872561,213.012888010642,981103.8280962865,328300.0,335500.0,214.782,2.125,1.6909750108001483e-05
4505.0,329078.658458,337641.893433,206.9860060741921,981106.5516602242,329300.0,336500.0,209.031,2.123,8.96726578440389e-06
4506.0,331353.287493,337246.446088,193.5179089409017,981106.7891595885,331300.0,336500.0,197.154,2.123,5.856125480887999e-06
4507.0,324764.601977,333618.578744,220.81002447277,981090.1870946174,324300.0,333500.0,220.805,2.129,4.280718137390551e-06
4508.0,329198.204653,332494.447029,233.9828468739961,981095.3809780836,329300.0,331500.0,244.176,2.135,8.714152730006056e-06
4510.0,325905.447582,329917.2279049999,243.5421646386294,981089.0429090301,325300.0,330500.0,240.746,2.136,6.215720876119287e-08
4511.0,327743.309821,334700.724633,224.0,981098.1081463394,327300.0,334500.0,225.849,2.128,4.724719805864271e-06
4513.0,324364.16426,332447.056292,227.5710921839091,981087.0498693471,324300.0,331500.0,247.581,2.134,9.855457384378732e-06
4514.0,330451.811214,338271.4144339999,199.9435973382147,981109.4251642397,330300.0,337500.0,201.411,2.121,9.014877021437655e-06
4515.0,326592.613806,333095.150515,210.139406650156,981093.0135654907,326300.0,332500.0,209.983,2.132,6.5010687150194805e-06
4516.0,328288.843995,330999.833624,231.7093940195755,981093.09128808,327300.0,330500.0,237.187,2.137,1.8187929244327353e-05
4517.0,326897.174467,331235.490423,230.0,981091.1994470952,326300.0,330500.0,254.0,2.136,9.75584905739753e-06
4518.0,327556.665576,331064.54866,229.9951232371046,981092.2814479135,327300.0,330500.0,237.187,2.137,6.012737785154715e-06
4519.0,329440.712239,334519.332016,216.8257912743065,981099.8449204247,329300.0,333500.0,223.78,2.13,1.1326690690776213e-05
4520.0,327437.914405,331113.141163,230.0,981092.0894172309,327300.0,330500.0,237.187,2.137,5.497189504625039e-06
4524.0,330593.752156,333361.293637,231.1690977754879,981098.3626053222,330300.0,332500.0,233.222,2.132,1.1286339051878246e-05
4525.0,332082.354215,335478.720292,220.2711731202926,981105.4511035294,332300.0,334500.0,197.226,2.127,5.580540852331473e-06
4526.0,331982.058891,332684.725733,224.5509316265076,981098.8976257696,331300.0,332500.0,239.552,2.132,6.3523041928174005e-06
4527.0,335564.176716,331195.744298,264.2434610244818,981102.6651820403,335300.0,330500.0,263.161,2.133,7.044910891689684e-06
4529.0,338038.025948,332275.932969,408.8454562572025,981103.8630584449,337300.0,331500.0,373.274,2.129,1.1117554481762585e-05
4532.0,341490.398586,330361.226991,245.1374162912653,981123.7838128754,341300.0,330500.0,253.755,2.125,2.4202261559736136e-07
4535.0,335920.730811,331517.211107,262.899071917358,981103.0839597316,336300.0,330500.0,286.879,2.133,6.2613631493366904e-06
