OBJECTID_1;NG;EG;2b
4881;349443.764839;349750.194795;869.7536880502012
4882;347576.323114;347084.749847;956.031907484401
4883;347562.379936;348690.446531;955.5085024810396
4884;330241.944704;335174.617098;1709.3956635635113
4896;330931.756078;323675.967744;1671.86317454651
4903;329923.645913;323454.715539;1715.3848259280203
4914;330194.314582;321613.05526699993;1706.2825352289947
4915;331094.189621;321653.168634;1667.5313237562077
4916;333731.872437;324584.35963;1556.1821981968824
4917;334840.248761;323276.95046;1513.1391851337394
4924;331630.330864;323858.989895;1642.298962417175
4925;336154.034938;321770.895922;1456.7230346091092
4940;332718.68266;320607.254828;1602.1372471131617
4944;332368.309863;323215.183569;1611.6793012006674
4945;330243.141181;347171.33044800005;1719.8463205263251
4947;339747.149838;349937.68725;1314.2650505212368
4956;336765.507824;350113.240193;1438.9496293421835
4958;338528.156514;349233.920771;1363.9915401354665
4966;333877.140698;349313.588891;1562.2014596166555
4967;335289.760697;349932.992388;1501.8072081368882
5110;344359.514015;349419.648011;1101.3168349305633
5140;346972.930408;350153.237196;982.4228714641649
