OBJECTID_1;NG;EG;delta_g0''
4601;331565.687295;344799.237741;1719.3268322317163
4602;335142.930497;342389.455031;1547.2712018584134
4603;337548.102795;349191.185492;1440.2124223508872
4604;334294.081833;347293.492089;1583.5424666742329
4605;335757.714709;348100.655955;1523.5496858061524
4606;332750.597233;349535.686386;1645.548713134136
4607;330331.246512;347374.728242;1756.0899089728482
4608;330854.110504;345142.789953;1738.3920397250913
4609;330862.720344;345304.932604;1737.340549870045
4610;336498.770384;349108.595101;1485.5733234044164
4611;339015.642928;349229.850407;1377.4758948556846
4612;338494.422625;346832.979275;1400.6143741775304
4615;330719.651687;347987.693256;1741.7598201476503
4616;330879.245656;345961.687474;1733.3310213881778
4617;331548.75744;344614.741784;1722.147083003074
4618;334663.030723;341835.087422;1577.6833061773796
4619;336599.458036;340193.648748;1574.6315900984919
4620;336035.315313;340826.737375;1545.6237141399179
4621;334185.49886;339121.275336;1655.3648336126935
4622;333836.523953;339543.817449;1646.9978537277784
4623;337065.81846900005;345234.526017;1465.4184256922454
4624;335116.765632;345221.348129;1566.9974557461683
4625;330227.084395;338516.438812;1783.9330629418837
4626;334287.2676;339851.021208;1639.0564909690293
4627;332303.731493;342128.089926;1711.6396274598083
4628;334338.883815;342764.281084;1585.6764202067861
4629;330916.479787;341693.815022;1747.8139425290283
4630;342951.112137;345098.349393;1196.6869465778582
4631;345982.675359;348464.114788;1059.0804312290857
4632;343138.701292;343563.981029;1191.3701094420394
4633;348991.89256899996;344797.059093;927.949523425661
4634;345675.700782;340345.21906699997;1077.3027931464603
4635;344449.411694;343360.071646;1130.8215296457056
4636;341361.565199;341533.03175;1266.4580276311608
4637;345960.437652;347726.4331980001;1058.9411582349567
4638;346473.173631;343852.607572;1042.581930800341
4639;347679.56609;345231.95539;991.3241330806632
4640;346938.563611;345860.55559;1018.9339933680603
4641;346007.957453;346305.07531;1056.820921751787
4642;340579.970156;339466.036872;1300.6534670870751
4643;340717.763572;341354.613331;1296.334647355834
4644;340942.047492;338775.387454;1283.4741471975576
4645;341932.588466;336654.277688;1250.2611291446956
4646;343436.317267;341768.087729;1180.6487299663713
4647;342443.461058;340805.715045;1218.74183713831
4648;341586.403459;337088.565989;1257.6466240482405
4649;337961.307053;341596.154578;1431.0556925960118
4650;339648.3875559999;345513.810598;1348.22391183523
4651;338754.234132;342382.59444099996;1388.768806174281
4652;336646.795766;344493.407236;1485.371539049549
4654;342434.60395;349424.855197;1221.7800873039523
4655;344555.848579;349129.261834;1124.9015464860713
4656;341140.656191;346629.082979;1280.1060347043676
4657;341879.569169;346530.702084;1246.3773869423894
4658;337807.999115;344507.552762;1433.14995303459
4659;338684.845202;346895.131818;1392.173968208488
4660;341758.782048;344102.804451;1252.176514854189
4661;343067.782985;343125.034621;1193.4798795700772
4662;339050.462746;338122.365747;1372.404080953449
4663;340029.935285;341540.52751;1331.2983721999917
4664;338987.305788;338888.71413399995;1373.6800826040562
4665;336425.509443;337131.179413;1506.304769402719
4666;336296.257325;339093.83879;1627.0273006274365
4667;342269.399699;344014.255894;1228.5624533203663
4668;335060.536109;339493.596384;1662.0412080916576
4669;340015.114752;342328.3814;1326.7784826144343
4670;337506.246155;340998.06445;1504.103240816621
4671;335629.163213;337020.250502;1566.231449722196
4672;338110.959769;339052.055925;1425.0295965690166
4681;354028.615613;320806.50427;727.864893560065
4682;350929.423696;322005.639285;869.3284507570788
4691;349893.127387;320432.706531;922.3798784698592
4692;351637.3795730001;322387.182412;836.2151924689533
4693;352538.948366;322236.009332;794.3341093756026
4694;349716.3853830001;324768.433502;917.6295442299452
4695;347913.051392;324952.792097;995.7212442334276
4696;345042.711061;320954.216675;1131.7726587001234
4698;343599.381124;320374.850612;1198.4166911595967
4699;346169.889656;320598.717258;1080.3924150937237
4701;347267.445152;321577.64248;1038.7094757346204
4702;347018.741418;320853.364319;1052.135432653129
4703;343337.784619;320643.205703;1207.249472912983
4704;347220.634734;325343.279456;1034.8100710663712
4705;347441.41977;323845.883131;1035.8100668712286
4706;351719.558683;325162.538725;827.9316909742774
4707;349851.611175;322605.063661;919.8661990301916
4708;350859.296268;325686.199871;866.009758392931
4709;350626.713552;326443.908467;874.7712561420631
4710;348201.607638;324162.568366;989.3879503647331
4711;354687.824796;326219.238169;686.6205102350796
4712;352494.38085300004;323295.498113;794.361450596829
4713;352170.23740899994;322148.242952;810.3953014846193
4719;344849.14701499994;321677.807243;1135.6727595747216
4725;340958.397943;326280.256446;1299.9338967341464
4726;339002.680453;322379.01722399995;1387.6897534843301
4727;341403.192958;321728.707924;1289.1140286313603
4728;341221.555637;322534.916133;1295.2239026862662
4729;342115.448003;323480.612849;1257.6771398093551
4730;339044.499112;326564.217687;1388.1224300748436
4731;337042.845425;323275.338045;1469.8913041594205
4732;338705.853651;323385.27020200004;1401.1929082551505
4733;336060.675573;320404.797881;1514.1002867572242
4735;337650.750909;320266.20337199996;1453.6013649549568
4737;343369.220955;322644.501733;1206.0700331982225
4738;344036.490356;323861.820823;1173.9316152611282
4739;344414.365943;322435.017247;1156.2466972633265
4741;340467.504241;322505.012091;1334.3443226779345
4742;338029.206032;322388.007817;1428.882076427224
4743;339086.887557;322357.660311;1382.9230322046205
4744;341536.476812;322570.28692;1282.2893050707644
4747;340565.26991499995;321193.1635380001;1327.453318068292
4754;335375.335575;325034.712526;1534.4431567505235
4755;330486.323773;322548.211469;1744.1433743225643
4756;334258.67148600006;322520.047162;1593.6694790397305
4757;336021.435004;323703.423624;1514.760101244785
4758;335852.173034;335490.989658;1508.7800906714983
4759;337988.397946;335224.553755;1417.2918231381336
4760;346602.041613;332230.193384;1042.1345138051547
4761;352490.621605;335559.78348499996;777.6956653296947
4762;351980.878013;334641.853002;809.2626342253061
4763;349768.31839;335411.309488;900.2928590193624
4764;347956.901861;333260.03019799996;992.5599856300978
4765;346795.618006;335490.688057;1031.1254025385715
4766;348099.860417;334950.59679999994;975.5671005331678
4767;347673.543402;335799.75899;993.5565668983618
4768;344462.346776;338940.742259;1135.8945122543955
4769;338449.988239;341452.780731;1411.5497528456617
4770;338114.586131;343109.640716;1421.7557771747233
4771;337167.200039;342366.400204;1469.043296506512
4772;337887.020198;344269.456757;1430.4482546753716
4774;340586.53916200006;347268.096399;1305.7647244359832
4775;336079.870207;332789.76898199995;1508.0587861512322
4776;338661.758709;333532.66908;1392.2731929795118
4777;338805.974461;336544.763083;1377.3070598519407
4778;333065.511265;334315.883411;1632.439023071085
4779;331219.43732300005;333056.002755;1759.647260619793
4782;331360.3964530001;335970.26625;1721.4733070882503
4783;331183.385263;334814.930237;1722.1539738919819
4784;335806.57977;334399.884404;1510.690545045305
4785;336088.697083;337355.604697;1553.8155435116496
4786;336211.399803;338894.662752;1626.9294894104823
4787;333485.203261;336833.610302;1632.2170640571276
4788;339157.497441;336819.353232;1356.7136166344862
4789;341220.694206;334757.164393;1285.0705340523273
4790;340419.72561100003;336217.625278;1313.3685147021897
4791;339514.876104;338711.21413;1347.1342120964546
4792;351331.87832;326034.732685;846.0233163229423
4793;349754.886429;324762.2065309999;915.9373826268129
4794;348393.223424;325061.929242;976.6340067243436
4795;348906.0531620001;326768.613996;949.5823398421053
4796;351806.183202;330518.553268;813.8199032350676
4797;349574.980016;327359.002785;923.696685675648
4798;351617.082316;329281.583884;823.4758636197075
4799;351415.868555;329889.095378;833.5883375559933
4800;351249.434267;332794.143142;843.9996496688109
