OBJECTID_1;NG;EG;delta_g0'
4820;347124.201202;342010.088969;993.0840000000317
4821;348804.506746;342309.094888;918.1599999999162
4823;340623.910099;347735.671414;1286.7749999999069
4824;335744.868793;347389.061913;1507.4169999998994
4825;352122.863666;342283.339094;774.7870000000112
4826;350417.298337;342096.264194;848.1759999999776
4827;350632.954118;343842.296989;838.7229999999981
4828;349879.858006;344242.557861;867.8279999999795
4829;350008.297599;345204.472478;861.6939999999013
4830;347480.439799;343352.657418;980.1849999999395
4831;351068.564419;345828.596892;815.2330000000075
4832;351131.593182;343861.440658;815.2210000000196
4833;349411.489814;346362.3994110001;888.6450000000186
4834;346253.689174;345217.025544;1030.4470000000438
4835;353161.3913920001;348806.929918;719.1010000000242
4836;350252.650386;347676.731468;851.0079999999143
4837;349169.313086;345546.791183;901.8420000000624
4838;345294.201137;349356.809087;1075.2869999998948
4839;344796.036099;346725.164689;1096.4920000000857
4840;350553.189195;347879.553338;837.2559999999357
4845;329987.534789;339001.556808;1758.9679999999935
4851;330372.7366129999;344937.725639;1734.5679999999702
4854;330209.6038820001;348567.44619;1740.667999999947
4865;349910.987658;336393.755085;874.859999999986
4866;352438.149085;331084.435863;765.9769999999553
4867;350040.295101;331323.14519199997;874.4000000000233
4868;351347.942362;334394.461753;818.655999999959
4869;349251.733733;336699.235809;909.9490000000224
4870;350061.785101;334128.55643699993;873.9180000000633
4871;354045.02791;340667.067354;688.8919999999925
4872;349916.19860500004;340191.798205;877.8699999999953
4873;350193.342697;339475.618979;866.1870000000345
4874;352224.429253;344597.632275;766.3270000000484
4875;350442.641779;338674.647571;852.1269999999786
4876;353169.434501;342702.932849;725.1389999999665
4877;351846.357306;343480.366682;784.7530000000261
4878;350272.193985;349471.57498900004;850.4899999999907
4879;343940.250179;347739.133861;1135.9139999999898
4880;347203.207419;348270.414404;987.9610000000102
4881;349443.764839;349750.194795;885.3839999999618
4882;347576.323114;347084.749847;972.362000000081
4883;347562.379936;348690.446531;971.4949999999953
4884;330241.944704;335174.617098;1738.5840000000317
4896;330931.756078;323675.967744;1698.4370000000345
4903;329923.645913;323454.715539;1742.9479999999749
4914;330194.314582;321613.05526699993;1736.0200000000186
4915;331094.189621;321653.168634;1696.0570000000298
4916;333731.872437;324584.35963;1581.0190000000875
4917;334840.248761;323276.95046;1539.4960000000428
4924;331630.330864;323858.989895;1668.1489999999758
4925;336154.034938;321770.895922;1481.765000000014
